HGNC.ID,HGNCsymbol,Approved.name,Chromosome,Pubmed.IDs,OMIM.ID,UniProt.ID
HGNC:14235,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,11q22.3,"12815048, 11286508, 18022563",607756,Q9NRN7
HGNC:17366,AASS,aminoadipate-semialdehyde synthase,7q31.32,10775527,605113,Q9UDR5
HGNC:51526,AATBC,apoptosis associated transcript in bladder cancer,21q22.3,25473900,,
HGNC:19235,AATF,apoptosis antagonizing transcription factor,17q12,"11027528, 10783144",608463,Q9NY61
HGNC:21,AATK,apoptosis associated tyrosine kinase,17q25.3,"9734811, 10083745, 22573681",605276,Q6ZMQ8
HGNC:22,AAVS1,adeno-associated virus integration site 1,19q13,1334463,102699,
HGNC:49667,ABALON,apoptotic BCL2L1-antisense long non-coding RNA,20q11.21,,,
HGNC:23,ABAT,4-aminobutyrate aminotransferase,16p13.2,7721088,137150,P80404
HGNC:24,ABC1,"symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)",,,,
HGNC:25,ABC2,"symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)",,,,
HGNC:26,ABC3,"symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)",,,,
HGNC:28,ABC7,"symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)",,,,
HGNC:27,ABC50,"symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)",,,,
HGNC:29,ABCA1,ATP binding cassette subfamily A member 1,9q31.1,"8088782, 10431236, 10431237, 10431238",600046,O95477
HGNC:32,ABCA2,ATP binding cassette subfamily A member 2,9q34.3,8088782,600047,Q9BZC7
HGNC:33,ABCA3,ATP binding cassette subfamily A member 3,16p13.3,8706931,601615,Q99758
HGNC:34,ABCA4,ATP binding cassette subfamily A member 4,1p22.1,9490294,601691,P78363
HGNC:35,ABCA5,ATP binding cassette subfamily A member 5,17q24.3,8894702,612503,Q8WWZ7
HGNC:36,ABCA6,ATP binding cassette subfamily A member 6,17q24.2-q24.3,8894702,612504,Q8N139
HGNC:37,ABCA7,ATP binding cassette subfamily A member 7,19p13.3,"10873640, 11435699, 12917409",605414,Q8IZY2
HGNC:38,ABCA8,ATP binding cassette subfamily A member 8,17q24.2,"12379217, 23560799",612505,O94911
HGNC:39,ABCA9,ATP binding cassette subfamily A member 9,17q24.2,12150964,612507,Q8IUA7
HGNC:39983,ABCA9-AS1,ABCA9 antisense RNA 1,17q24.2,,,
HGNC:30,ABCA10,ATP binding cassette subfamily A member 10,17q24.3,"12821155, 11435397",612508,Q8WWZ4
HGNC:31,ABCA11P,"ATP binding cassette subfamily A member 11, pseudogene",4p16.3,,,Q4W5N1
HGNC:14637,ABCA12,ATP binding cassette subfamily A member 12,2q35,"11435397, 12915478, 8845852, 10094194",607800,Q86UK0
HGNC:14638,ABCA13,ATP binding cassette subfamily A member 13,7p12.3,12697998,607807,Q86UQ4
HGNC:32972,ABCA17P,"ATP binding cassette subfamily A member 17, pseudogene",16p13.3,16968533,,
HGNC:40,ABCB1,ATP binding cassette subfamily B member 1,7q21.12,3027054,171050,P08183
HGNC:11563,ABCB2,"symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)",,,,
HGNC:11564,ABCB3,"symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)",,,,
HGNC:45,ABCB4,ATP binding cassette subfamily B member 4,7q21.12,"2892668, 11313316",171060,P21439
HGNC:46,ABCB5,ATP binding cassette subfamily B member 5,7p21.1,"8894702, 12960149",611785,Q2M3G0
HGNC:47,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),2q35,"8894702, 9110174",605452,Q9NP58
HGNC:48,ABCB7,ATP binding cassette subfamily B member 7,Xq13.3,9143506,300135,O75027
HGNC:49,ABCB8,ATP binding cassette subfamily B member 8,7q36.1,8894702,605464,Q9NUT2
HGNC:50,ABCB9,ATP binding cassette subfamily B member 9,12q24.31,8894702,605453,Q9NP78
HGNC:41,ABCB10,ATP binding cassette subfamily B member 10,1q42.13,7766993,605454,Q9NRK6
HGNC:14114,ABCB10P1,ABCB10 pseudogene 1,15q11.2,"7766993, 10922475",,
HGNC:31128,ABCB10P2,"symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)",15q11.2,,,
HGNC:31129,ABCB10P3,ABCB10 pseudogene 3,15q13.1,,,
HGNC:31130,ABCB10P4,ABCB10 pseudogene 4,15q13.1,,,
HGNC:42,ABCB11,ATP binding cassette subfamily B member 11,2q31.1,9806540,603201,O95342
HGNC:51,ABCC1,ATP binding cassette subfamily C member 1,16p13.11,"8098549, 1360704",158343,P33527
HGNC:53,ABCC2,ATP binding cassette subfamily C member 2,10q24.2,"8797578, 9284939",601107,Q92887
HGNC:54,ABCC3,ATP binding cassette subfamily C member 3,17q21.33,"8894702, 9827529",604323,O15438
HGNC:55,ABCC4,ATP binding cassette subfamily C member 4,13q32.1,"8894702, 9661885",605250,O15439
HGNC:56,ABCC5,ATP binding cassette subfamily C member 5,3q27.1,"8894702, 9827529",605251,O15440
HGNC:40055,ABCC5-AS1,ABCC5 antisense RNA 1,3q27.1,,,
HGNC:57,ABCC6,ATP binding cassette subfamily C member 6,16p13.11,"9721217, 11439001",603234,O95255
HGNC:33352,ABCC6P1,ATP binding cassette subfamily C member 6 pseudogene 1,16p12.3,"18405356, 22873774",,
HGNC:33353,ABCC6P2,ATP binding cassette subfamily C member 6 pseudogene 2,16p13.11,22873774,,
HGNC:58,ABCC7,"symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)",,,,
HGNC:59,ABCC8,ATP binding cassette subfamily C member 8,11p15.1,"7920639, 7716548",600509,Q09428
HGNC:60,ABCC9,ATP binding cassette subfamily C member 9,12p12.1,"9457174, 15034580",601439,O60706
HGNC:52,ABCC10,ATP binding cassette subfamily C member 10,6p21.1,8894702,612509,Q5T3U5
HGNC:14639,ABCC11,ATP binding cassette subfamily C member 11,16q12.1,"11483364, 11435397",607040,Q96J66
HGNC:14640,ABCC12,ATP binding cassette subfamily C member 12,16q12.1,"11435397, 11483364",607041,Q96J65
HGNC:16022,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene),21q11.2,"12445816, 15203202",608835,
HGNC:61,ABCD1,ATP binding cassette subfamily D member 1,Xq28,"8441467, 6795626",300371,P33897
HGNC:62,ABCD1P1,ATP binding cassette subfamily D member 1 pseudogene 1,2p11.2,"8829626, 9215666",,
HGNC:63,ABCD1P2,ATP binding cassette subfamily D member 1 pseudogene 2,10p11.1,9215666,,
HGNC:64,ABCD1P3,ATP binding cassette subfamily D member 1 pseudogene 3,16p11.2,9215666,,
HGNC:65,ABCD1P4,ATP binding cassette subfamily D member 1 pseudogene 4,22q11.1,"9215666, 10591208",,
HGNC:42662,ABCD1P5,ATP binding cassette subfamily D member 1 pseudogene 5,2p11.1,,,
HGNC:66,ABCD2,ATP binding cassette subfamily D member 2,12q12,8577752,601081,Q9UBJ2
HGNC:67,ABCD3,ATP binding cassette subfamily D member 3,1p21.3,"1301993, 8449508",170995,P28288
HGNC:68,ABCD4,ATP binding cassette subfamily D member 4,14q24.3,"9266848, 9302272",603214,O14678
HGNC:69,ABCE1,ATP binding cassette subfamily E member 1,4q31.21,7539425,601213,P61221
HGNC:70,ABCF1,ATP binding cassette subfamily F member 1,6p21.33,9790762,603429,Q8NE71
HGNC:53628,ABCF1-DT,ABCF1 divergent transcript,6p21.33,,,
HGNC:71,ABCF2,ATP binding cassette subfamily F member 2,7q36.1,8894702,612510,Q9UG63
HGNC:54751,ABCF2-H2BE1,ABCF2-H2BE1 readthrough,7q36.1,,,
HGNC:48841,ABCF2P1,ATP binding cassette subfamily F member 2 pseudogene 1,3p11.1,,,
HGNC:48842,ABCF2P2,ATP binding cassette subfamily F member 2 pseudogene 2,7q11.22,,,
HGNC:72,ABCF3,ATP binding cassette subfamily F member 3,3q27.1,8894702,618967,Q9NUQ8
HGNC:73,ABCG1,ATP binding cassette subfamily G member 1,21q22.3,"8659545, 16870176",603076,P45844
HGNC:74,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group),4q22.1,"8894702, 9861027",603756,Q9UNQ0
HGNC:13884,ABCG4,ATP binding cassette subfamily G member 4,11q23.3,11435397,607784,Q9H172
HGNC:13886,ABCG5,ATP binding cassette subfamily G member 5,2p21,"11099417, 11452359",605459,Q9H222
HGNC:13887,ABCG8,ATP binding cassette subfamily G member 8,2p21,"11099417, 17626266",605460,Q9H221
HGNC:75,ABCR,"symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)",,,,
HGNC:17553,ABHD1,abhydrolase domain containing 1,2p23.3,11922611,612195,Q96SE0
HGNC:18717,ABHD2,"abhydrolase domain containing 2, acylglycerol lipase",15q26.1,"27247428, 28684316, 26989199",612196,P08910
HGNC:18718,ABHD3,"abhydrolase domain containing 3, phospholipase",18q11.2,21926997,612197,Q8WU67
HGNC:20154,ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B",14q11.2,"25853435, 16818490",,Q8TB40
HGNC:21396,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",3p21.33,"11590543, 18606822, 19801371",604780,Q8WTS1
HGNC:21398,ABHD6,"abhydrolase domain containing 6, acylglycerol lipase",3p14.3,"22969151, 25504894, 26491015, 24095738",616966,Q9BV23
HGNC:23759,ABHD8,abhydrolase domain containing 8,19p13.11,12477932,,Q96I13
HGNC:25656,ABHD10,"abhydrolase domain containing 10, depalmitoylase",3q13.2,"22294686, 25217485",618756,Q9NUJ1
HGNC:16407,ABHD11,abhydrolase domain containing 11,7q11.23,"28465236, 12073013",,Q8NFV4
HGNC:18289,ABHD11-AS1,ABHD11 antisense RNA 1 (tail to tail),7q11.23,"24984296, 25619660, 28157695",612545,
HGNC:40012,ABHD11-AS2,ABHD11 antisense RNA 2,7q11.23,,,
HGNC:15868,ABHD12,"abhydrolase domain containing 12, lysophospholipase",20p11.21,"22969151, 25290914, 30237167, 24879289",613599,Q8N2K0
HGNC:19837,ABHD12B,abhydrolase domain containing 12B,14q22.1,,,Q7Z5M8
HGNC:20293,ABHD13,abhydrolase domain containing 13,13q33.3,,,Q7L211
HGNC:24538,ABHD14A,abhydrolase domain containing 14A,3p21.2,,618771,Q9BUJ0
HGNC:38856,ABHD14A-ACY1,ABHD14A-ACY1 readthrough,3p21.2,,,
HGNC:28235,ABHD14B,abhydrolase domain containing 14B,3p21.2,,,Q96IU4
HGNC:26971,ABHD15,abhydrolase domain containing 15,17q11.2,12975309,,Q6UXT9
HGNC:49685,ABHD15-AS1,ABHD15 antisense RNA 1,17q11.2,24504737,,
HGNC:13921,ABHD16A,"abhydrolase domain containing 16A, phospholipase",6p21.33,"2911734, 2813433, 25580854, 25290914",142620,O95870
HGNC:16128,ABHD16B,abhydrolase domain containing 16B,20q13.33,,,Q9H3Z7
HGNC:28756,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase",19p13.3,"14702039, 26701913, 27307232, 28521134",617942,Q96GS6
HGNC:28394,ABHD17AP1,ABHD17A pseudogene 1,1q21.2,,,
HGNC:33538,ABHD17AP2,"symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)",1q21.1,,,
HGNC:34041,ABHD17AP3,ABHD17A pseudogene 3,1q41,,,
HGNC:34042,ABHD17AP4,ABHD17A pseudogene 4,22q11.21,,,
HGNC:34043,ABHD17AP5,ABHD17A pseudogene 5,22q11.22,9074928,,
HGNC:34044,ABHD17AP6,ABHD17A pseudogene 6,17p11.2,,,
HGNC:38508,ABHD17AP7,ABHD17A pseudogene 7,16p11.2,,,
HGNC:38509,ABHD17AP8,ABHD17A pseudogene 8,16p11.2,,,
HGNC:38510,ABHD17AP9,ABHD17A pseudogene 9,16p11.2,,,
HGNC:24278,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase",9q21.13,"10810093, 26701913, 27307232, 28521134",617943,Q5VST6
HGNC:26925,ABHD17C,"abhydrolase domain containing 17C, depalmitoylase",15q25.1,"26701913, 27307232, 28521134",617944,Q6PCB6
HGNC:26111,ABHD18,abhydrolase domain containing 18,4q28.2,12477932,,Q0P651
HGNC:11320,ABI1,abl interactor 1,10p12.1,"9593709, 9010225",603050,Q8IZP0
HGNC:20035,ABI1P1,abl interactor 1 pseudogene 1,14q22.3,,,
HGNC:24011,ABI2,abl interactor 2,2q33.2,"7590236, 10964520",606442,Q9NYB9
HGNC:29859,ABI3,ABI family member 3,17q21.32,"10978530, 11956071",606363,Q9P2A4
HGNC:17265,ABI3BP,ABI family member 3 binding protein,3q12.2,11501947,606279,Q7Z7G0
HGNC:1364,ABITRAM,actin binding transcription modulator,9q31.3,"24349419, 24782708",,Q9NX38
HGNC:39851,ABITRAMP1,ABITRAM pseudogene 1,13q14.13,,,
HGNC:76,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",9q34.12,"1857987, 12626632",189980,P00519
HGNC:77,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",1q25.2,3787260,164690,P42684
HGNC:78,ABLIM1,actin binding LIM protein 1,10q25.3,9245787,602330,O14639
HGNC:19195,ABLIM2,actin binding LIM protein family member 2,4p16.1,16005990,612544,Q6H8Q1
HGNC:29132,ABLIM3,actin binding LIM protein family member 3,5q32,"16328021, 20709423",611305,O94929
HGNC:79,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",9q34.2,184030,110300,P16442
HGNC:81,ABR,ABR activator of RhoGEF and GTPase,17p13.3,"2587217, 7479768, 17116687",600365,Q12979
HGNC:30655,ABRA,actin binding Rho activating protein,8q23.1,11983702,609747,Q8N0Z2
HGNC:21230,ABRACL,ABRA C-terminal like,6q24.1,21082705,,Q9P1F3
HGNC:25829,ABRAXAS1,"abraxas 1, BRCA1 A complex subunit",4q21.23,"12975309, 17525340",611143,Q6UWZ7
HGNC:28975,ABRAXAS2,"abraxas 2, BRISC complex subunit",10q26.13,8590280,611144,Q15018
HGNC:17369,ABT1,activator of basal transcription 1,6p22.2,10648625,618750,Q9ULW3
HGNC:39557,ABT1P1,activator of basal transcription 1 pseudogene 1,4q23,,,
HGNC:18275,ABTB1,ankyrin repeat and BTB domain containing 1,3q21.3,"10891360, 11494141",608308,Q969K4
HGNC:23842,ABTB2,ankyrin repeat and BTB domain containing 2,11p13,,,Q8N961
HGNC:82,ACAA1,acetyl-CoA acyltransferase 1,3p22.2,22151743,604054,P09110
HGNC:83,ACAA2,acetyl-CoA acyltransferase 2,18q21.1,8241273,604770,P42765
HGNC:84,ACACA,acetyl-CoA carboxylase alpha,17q12,,200350,Q13085
HGNC:85,ACACB,acetyl-CoA carboxylase beta,12q24.11,8670171,601557,O00763
HGNC:86,ACAD,"acyl-Coenzyme A dehydrogenase, multiple (chr X)",,,,
HGNC:87,ACAD8,acyl-CoA dehydrogenase family member 8,11q25,"10524212, 12359132",604773,Q9UKU7
HGNC:21497,ACAD9,acyl-CoA dehydrogenase family member 9,3q21.3,"12359260, 21057504, 20816094",611103,Q9H845
HGNC:21597,ACAD10,acyl-CoA dehydrogenase family member 10,12q24.12,15560374,611181,Q6JQN1
HGNC:30211,ACAD11,acyl-CoA dehydrogenase family member 11,3q22.1,25704813,614288,Q709F0
HGNC:88,ACADL,acyl-CoA dehydrogenase long chain,2q34,1774065,609576,P28330
HGNC:89,ACADM,acyl-CoA dehydrogenase medium chain,1p31.1,3035565,607008,P11310
HGNC:90,ACADS,acyl-CoA dehydrogenase short chain,12q24.31,2565344,606885,P16219
HGNC:91,ACADSB,acyl-CoA dehydrogenase short/branched chain,10q26.13,"7698750, 7759115",600301,P45954
HGNC:92,ACADVL,acyl-CoA dehydrogenase very long chain,17p13.1,8921384,609575,P49748
HGNC:319,ACAN,aggrecan,15q26.1,1985970,155760,P16112
HGNC:16467,ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",17p13.1,"11050434, 11062263",607763,Q15027
HGNC:16469,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",3q29,"11050434, 11062263",607766,Q15057
HGNC:41426,ACAP2-IT1,ACAP2 intronic transcript 1,3q29,,,
HGNC:16754,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",1p36.33,"27330119, 28919417",,Q96P50
HGNC:93,ACAT1,acetyl-CoA acetyltransferase 1,11q22.3,1979337,607809,P24752
HGNC:94,ACAT2,acetyl-CoA acetyltransferase 2,6q25.3,2475872,100678,Q9BWD1
HGNC:15453,ACBD3,acyl-CoA binding domain containing 3,1q42.12,"12692076, 20150326",606809,Q9H3P7
HGNC:40701,ACBD3-AS1,ACBD3 antisense RNA 1,1q42.12,28881755,,
HGNC:23337,ACBD4,acyl-CoA binding domain containing 4,17q21.31,28463579,,Q8NC06
HGNC:23338,ACBD5,acyl-CoA binding domain containing 5,10p12.1,12056414,616618,Q5T8D3
HGNC:23339,ACBD6,acyl-CoA binding domain containing 6,1q25.2-q25.3,18268358,616352,Q9BR61
HGNC:17715,ACBD7,acyl-CoA binding domain containing 7,10p13,28690493,,Q8N6N7
HGNC:96,ACBP,"symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)",,,,
HGNC:97,ACC,"symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)",,,,
HGNC:98,ACCN,"symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)",,,,
HGNC:14594,ACCPN,"symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)",15q13-q15,,,
HGNC:23989,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),11p11.2,11470512,608405,Q96QU6
HGNC:34391,ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,11p11.2,,,Q4AC99
HGNC:25070,ACD,ACD shelterin complex subunit and telomerase recruitment factor,16q22.1,"15231715, 15181449",609377,Q96AP0
HGNC:2707,ACE,angiotensin I converting enzyme,17q23.3,"2554286, 10319862",106180,P12821
HGNC:13557,ACE2,angiotensin I converting enzyme 2,Xp22.2,10969042,300335,Q9BYF1
HGNC:44365,ACE3P,"angiotensin I converting enzyme 3, pseudogene",17q23.3,17597519,,
HGNC:18356,ACER1,alkaline ceramidase 1,19p13.3,12783875,613491,Q8TDN7
HGNC:23675,ACER2,alkaline ceramidase 2,9p22.1,18945876,613492,Q5QJU3
HGNC:54674,ACER2P1,ACER2 pseudogene 1,2q33.3,,,
HGNC:16066,ACER3,alkaline ceramidase 3,11q13.5,"11356846, 18619555",617036,Q9NUN7
HGNC:106,ACH,"symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)",,,,
HGNC:107,ACHAP,"symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)",reserved,,,
HGNC:108,ACHE,acetylcholinesterase (Cartwright blood group),7q22.1,1380483,100740,P22303
HGNC:109,ACHM1,"symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)",14,1347967,,
HGNC:110,ACHM2,"symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)",,,,
HGNC:111,ACHM3,"symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)",8q22.1-q22.2,10330355,,
HGNC:112,ACHRD,"symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)",,,,
HGNC:113,ACHRG,"symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)",,,,
HGNC:17066,ACIN1,apoptotic chromatin condensation inducer 1,14q11.2,"9734811, 10490026",604562,Q9UKV3
HGNC:4035,ACKR1,atypical chemokine receptor 1 (Duffy blood group),1q23.2,"8248172, 7663520, 16148",613665,Q16570
HGNC:1565,ACKR2,atypical chemokine receptor 2,3p22.1,"9364936, 9405404, 16148",602648,O00590
HGNC:23692,ACKR3,atypical chemokine receptor 3,2q37.3,"16107333, 16148",610376,P25106
HGNC:1611,ACKR4,atypical chemokine receptor 4,3q22.1,"10767544, 16148",606065,Q9NPB9
HGNC:21142,ACKR4P1,ACKR4 pseudogene 1,6q24.1,,,
HGNC:114,ACLS,acrocallosal syndrome,12p13.3-p11.2,8723117,,
HGNC:115,ACLY,ATP citrate lyase,17q21.2,"1371749, 8088842",108728,P53396
HGNC:116,ACMG,acromegaly,,,,
HGNC:19288,ACMSD,aminocarboxymuconate semialdehyde decarboxylase,2q21.3,12140278,608889,Q8TDX5
HGNC:34504,ACNATP,acyl-CoA:amino acid N-acyltransferase pseudogene,9q31.1,"17116739, 18538142",,
HGNC:117,ACO1,aconitase 1,9p21.1,"2172968, 2771641",100880,P21399
HGNC:118,ACO2,aconitase 2,22q13.2,10591208,100850,Q99798
HGNC:33904,ACOD1,aconitate decarboxylase 1,13q22.3,"12893884, 23610393",615275,A6NK06
HGNC:33128,ACOT1,acyl-CoA thioesterase 1,14q24.3,"16103133, 16940157",614313,Q86TX2
HGNC:18431,ACOT2,acyl-CoA thioesterase 2,14q24.3,"16103133, 16940157",609972,P49753
HGNC:19748,ACOT4,acyl-CoA thioesterase 4,14q24.3,"16103133, 16940157",614314,Q8N9L9
HGNC:33159,ACOT6,acyl-CoA thioesterase 6,14q24.3,16940157,614267,Q3I5F7
HGNC:24157,ACOT7,acyl-CoA thioesterase 7,1p36.31,"10578051, 16103133, 16940157",602587,O00154
HGNC:15919,ACOT8,acyl-CoA thioesterase 8,20q13.12,"10092594, 9153233, 16103133, 16940157",608123,O14734
HGNC:17152,ACOT9,acyl-CoA thioesterase 9,Xp22.11,"10383425, 10810093, 16103133, 16940157",300862,Q9Y305
HGNC:18156,ACOT11,acyl-CoA thioesterase 11,1p32.3,"11696000, 16103133, 16940157",606803,Q8WXI4
HGNC:24436,ACOT12,acyl-CoA thioesterase 12,5q14.1,"16103133, 16940157",614315,Q8WYK0
HGNC:20999,ACOT13,acyl-CoA thioesterase 13,6p22.3,"16934754, 19405909",615652,Q9NPJ3
HGNC:119,ACOX1,acyl-CoA oxidase 1,17q25.1,8159712,609751,Q15067
HGNC:120,ACOX2,acyl-CoA oxidase 2,3p14.3,"8943006, 9070889",601641,Q99424
HGNC:121,ACOX3,"acyl-CoA oxidase 3, pristanoyl",4p16.1,9271077,603402,O15254
HGNC:25621,ACOXL,acyl-CoA oxidase like,2q13,,,Q9NUZ1
HGNC:41112,ACOXL-AS1,ACOXL antisense RNA 1,2q13,,,
